,mw
1684,797.27
1685,843.954
1686,925.393
1687,991.486
1688,1032.07
1689,1064.249
1690,1093.383
1691,1097.642
1692,1106.516
1693,1144.632
1694,1225.395
1695,1294.919
1696,1371.407
1697,1405.24
1698,1402.761
1699,1399.907
1700,1390.87
1701,1335.418
1702,1221.435
1703,1113.951
1704,1026.651
1705,966.453
1706,930.152
1707,912.876
1708,909.289
1709,938.239
1710,992.561
1711,1037.81
1712,1039.759
1713,1003.048
1714,940.796
1715,917.412
1716,931.248
1717,961.085
1718,1038.095
1719,1130.469
1720,1239.374
1721,1334.555
1722,1383.345
1723,1348.055
1724,1283.906
1725,1231.291
1726,1104.39
1727,979.023
1728,877.573
1729,817.989
1730,789.744
1731,771.215
1732,772.916
1733,792.889
1734,846.712
1735,880.649
1736,889.619
1737,907.628
1738,898.697
1739,908.138
1740,933.73
1741,984.386
1742,1004.947
1743,1007.234
1744,1080.263
1745,1172.025
1746,1207.937
1747,1189.1
1748,1187.653
1749,1160.942
1750,1064.693
1751,971.26
1752,890.474
1753,842.18
1754,810.023
1755,800.834
1756,805.892
1757,841.472
1758,920.55
1759,978.918
1760,1008.134
1761,958.887
1762,936.058
1763,894.817
1764,890.74
1765,993.375
1766,1042.095
1767,1077.719
1768,1140.47
1769,1175.879
1770,1206.534
1771,1202.123
1772,1192.549
1773,1165.23
1774,1070.804
1775,953.006
1776,876.998
1777,813.665
1778,784.099
1779,761.133
1780,769.316
1781,790.993
1782,848.124
1783,893.758
1784,885.886
1785,855.903
1786,876.548
1787,920.055
1788,904.846
1789,904.876
1790,906.154
1791,909.349
1792,979.92
1793,1064.905
1794,1123.181
1795,1141.671
1796,1126.887
1797,1114.577
1798,1048.336
1799,940.168
1800,856.466
1801,793.116
1802,759.649
1803,747.072
1804,746.567
1805,742.948
1806,753.398
1807,778.856
1808,837.902
1809,837.997
1810,852.439
1811,878.851
1812,914.283
1813,934.209
1814,1002.54
1815,1056.238
1816,1154.52
1817,1247.3
1818,1274.579
1819,1245.307
1820,1241.861
1821,1219.583
1822,1151.703
1823,1051.709
1824,972.349
1825,906.611
1826,866.466
1827,842.72
1828,834.085
1829,834.183
1830,834.511
1831,874.346
1832,937.886
1833,1000.166
1834,1060.859
1835,1128.791
1836,1244.286
1837,1259.28
1838,1328.039
1839,1415.685
1840,1508.754
1841,1540.785
1842,1525.718
1843,1463.748
1844,1445.486
1845,1416.78
1846,1312.313
1847,1179.552
1848,1070.801
1849,1003.296
1850,971.378
1851,936.115
1852,945.014
1853,978.153
1854,1061.5
1855,1149.27
1856,1226.627
1857,1290.02
1858,1338.777
1859,1423.562
1860,1473.852
1861,1561.075
1862,1637.358
1863,1715.433
1864,1744.011
1865,1789.741
1866,1766.539
1867,1677.468
1868,1601.469
1869,1518.436
1870,1380.379
1871,1226.373
1872,1116.177
1873,1041.471
1874,989.433
1875,965.169
1876,958.069
1877,999.19
1878,1055.372
1879,1143.508
1880,1198.657
1881,1257.146
1882,1319.32
1883,1372.313
1884,1453.283
1885,1499.278
1886,1578.704
1887,1645.579
1888,1689.292
1889,1782.058
1890,1809.362
1891,1757.956
1892,1701.123
1893,1619.663
1894,1445.589
1895,1285.687
1896,1162.83
1897,1076.187
1898,1018.289
1899,992.227
1900,990.681
1901,1017.109
1902,1074.754
1903,1150.893
1904,1203.787
1905,1260.91
1906,1317.415
1907,1347.159
1908,1374.32
1909,1411.098
1910,1490.941
1911,1567.285
1912,1642.839
1913,1694.598
1914,1696.165
1915,1656.559
1916,1601.101
1917,1541.414
1918,1408.871
1919,1263.176
1920,1156.739
1921,1074.801
1922,1026.854
1923,997.569
1924,989.347
1925,1020.181
1926,1076.195
1927,1177.038
1928,1272.581
1929,1324.527
1930,1390.745
1931,1449.817
1932,1527.131
1933,1613.722
1934,1725.878
1935,1803.931
1936,1776.032
1937,1778.524
1938,1777.795
1939,1740.79
1940,1676.003
1941,1601.389
1942,1461.014
1943,1307.729
1944,1190.954
1945,1103.511
1946,1031.767
1947,997.35
1948,984.668
1949,1012.719
1950,1061.592
1951,1158.948
1952,1235.361
1953,1276.721
1954,1289.583
1955,1304.415
1956,1307.054
1957,1298.56
1958,1259.447
1959,1212.683
1960,1317.361
1961,1405.887
1962,1482.867
1963,1453.073
1964,1388.083
1965,1348.463
1966,1251.352
1967,1132.8
1968,1027.15
1969,957.768
1970,883.598
1971,840.998
1972,832.605
1973,825.125
1974,851.858
1975,888.777
1976,935.902
1977,979.274
1978,1015.808
1979,1054.806
1980,1117.289
1981,1155.868
1982,1207.842
1983,1290.198
1984,1392.547
1985,1462.47
1986,1495.578
1987,1452.643
1988,1380.712
1989,1328.093
1990,1228.561
1991,1092.143
1992,982.176
1993,900.836
1994,846.462
1995,815.652
1996,799.739
1997,794.723
1998,790.041
1999,823.325
2000,873.469
2001,923.571
2002,974.623
2003,1034.652
2004,1090.319
2005,1158.462
2006,1245.203
2007,1349.501
2008,1467.347
2009,1566.651
2010,1590.896
2011,1532.563
2012,1442.542
2013,1381.752
2014,1259.718
2015,1111.911
2016,990.969
2017,910.193
2018,883.339
2019,833.884
2020,847.999
2021,873.38
2022,930.977
2023,1012.248
2024,1082.548
2025,1153.197
2026,1239.5
2027,1344.996
2028,1457.817
2029,1568.741
2030,1581.316
2031,1635.267
2032,1723.954
2033,1779.224
2034,1763.088
2035,1699.85
2036,1645.793
